output_file,source_file,asset_id,chosen_sprite,chosen_name,reference_count,all_references
001__camel__16__6dbb9b8951c06ba7e7dcc7d4b7fefe2d.svg,6dbb9b8951c06ba7e7dcc7d4b7fefe2d.svg,6dbb9b8951c06ba7e7dcc7d4b7fefe2d,camel,16,1,camel:3:16
002__camel__3__7093a905d63ba731d9ddfe8910941c72.svg,7093a905d63ba731d9ddfe8910941c72.svg,7093a905d63ba731d9ddfe8910941c72,camel,3,1,camel:5:3
003__camel__camel_knight__37bed103caa198dc0394ea6bc59243ca.svg,37bed103caa198dc0394ea6bc59243ca.svg,37bed103caa198dc0394ea6bc59243ca,camel,camel knight,1,camel:4:camel knight
004__camel__pb2__cc0dfd0f00d3edb1f0b72833bf7afdb4.svg,cc0dfd0f00d3edb1f0b72833bf7afdb4.svg,cc0dfd0f00d3edb1f0b72833bf7afdb4,camel,pb2,1,camel:2:pb2
005__camel__1__3339a2953a3bf62bb80e54ff575dbced.svg,3339a2953a3bf62bb80e54ff575dbced.svg,3339a2953a3bf62bb80e54ff575dbced,camel,모양 1,2,camel:1:모양 1 | kind of chess piece black:1:모양 1
006__chess__4__5bee3be8dd79cd04f9d88947d9d3a43e.svg,5bee3be8dd79cd04f9d88947d9d3a43e.svg,5bee3be8dd79cd04f9d88947d9d3a43e,chess,4,1,chess:11:4
007__chess__b__7aef60caa494bfeb14c926a7e10b900b.svg,7aef60caa494bfeb14c926a7e10b900b.svg,7aef60caa494bfeb14c926a7e10b900b,chess,b,1,chess:4:b
008__chess__k__eed90c5d7700774184b0fd02b5a42364.svg,eed90c5d7700774184b0fd02b5a42364.svg,eed90c5d7700774184b0fd02b5a42364,chess,k,1,chess:5:k
009__chess__move__e6872fa8d89685d1e40fb470084b3a13.svg,e6872fa8d89685d1e40fb470084b3a13.svg,e6872fa8d89685d1e40fb470084b3a13,chess,move,1,chess:9:move
010__chess__n__4c029336f5f4754bf0984f1a807437cb.svg,4c029336f5f4754bf0984f1a807437cb.svg,4c029336f5f4754bf0984f1a807437cb,chess,n,1,chess:3:n
